Date,Day,Training Day,Days from Game,Week Structure,Turnaround,Training Group,Training Involvement,Opposition,Week Number,Session,Focus,Data Type,Position,Name,Period Name,Total Distance (m),Work Distance (m),+5m/s Distance (m),+6m/s Distance (m),+7m/s Distance (m),Individual High Speed Distance (m),60% Total Distance (m),70% Total Distance (m),80% Total Distance (m),90% Total Distance (Set 2) (m),Accel Decel Distance (m),Accel Distance (m),Accel Decel Efforts,Accel Efforts,Acceleration Metres/Minute,High Accel Distance (m),High Intensity Efforts 1,High Intensity Efforts 2,HSR Density,IMA Total,Individual High Metabolic Distance (m),50% Total Distance (Set 2) (m),60% Total Distance (Set 2) (m),70% Speed Total Distance (Set 2) (m),80% Speed Total Distance (Set 2) (m),Acceleration Density,Acceleration Density Index,Max Vel (% Max),Maximum Velocity (m/s),Meterage Per Minute,Player Load (1D Fwd),Player Load (2D),Player Load (Slow),Player Load Per Metre,Player Load Per Minute,Total Acceleration Load,Total Duration,Average Scrum Count (Session),Average Scrum Duration,Scrum Count,High Accel Total Distance (m),High Accel Total Effort Count,High Deccel  Total Distance (m),High Deccel Total Effort Count,Mod Accel Total Distance (m),Mod Accel Total Effort Count,Position Name,Equivalent Distance (m),High Speed Total Distance (m),Jog Total Distance (m),Abs Sprint Total Distance (m),Stride Total Distance (m),Top Speed 1 Total Distance (m),Top Speed 2 Total Distance (m),Top Speed 2 Total Effort Count,Top Speed 1 Total Effort Count,Stride Total Effort Count,60% Total Effort Count (Set 2),70% Total Effort Count (Set 2),80% Total Effort Count (Set 2),90% Total Effort Count (Set 2),Tackle Count,Deceleration B2 Distance (Gen 2) (m),Deceleration B3 Distance (Gen 2) (m),Deceleration B2-3 Distance (Gen 2) (m),Acceleration B2 Distance (Gen 2) (m),Acceleration B3 Distance (Gen 2) (m),Acceleration B2-3 Distance (Gen 2) (m),Gen 2 Accel Distance (m),Max Acceleration,Max Deceleration,Deceleration B2-3 Total Efforts (Gen 2),Deceleration B2 Efforts (Gen 2),Deceleration B3 Efforts (Gen 2),Acceleration B2 Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Acceleration B2-3 Total Efforts (Gen 2),Individual High Speed/Min,Individual Sprint Metres/Min,60% Mtrs/Min,70% Mtrs/Min,High Speed Mtrs/Min
08/16/19,Friday,Day 5,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,718,532,127,16,0,142,32,0,0,0,161,37,14,11,4,2,6,2,4,0,186,110,32,0,0,0,3,65,6.4,73,40,59,30,0,10,239,0,0,0,0,2,0,0,0,35,11,Back,0,111,262,0,143,0,0,0,0,17,2,0,0,0,9,0,0,0,2,0,2,2,3.4,-3,0,0,0,2,0,2,14,3,3,0,13
08/16/19,Friday,Day 5,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Back 3,Player1,period,1906,1042,186,86,8,162,40,0,0,0,275,78,30,22,3,11,28,10,14,56,254,122,40,0,0,0,3,70,7.4,59,86,128,72,0,6,495,0,0,0,0,10,4,1,1,69,18,Back 3,2152,100,722,8,134,0,0,0,0,18,5,0,0,0,2,2,0,2,10,0,10,10,3.5,-3.7,2,2,0,4,0,4,5,1,1,0,6
08/16/19,Friday,Day 5,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player2,period,1854,923,115,60,20,123,66,23,0,0,274,75,30,21,3,12,20,12,18,0,210,56,43,23,0,0,3,76,7.6,57,73,109,67,0,6,519,0,0,0,0,11,2,1,1,64,19,Back,0,55,691,20,117,0,0,0,0,18,7,2,0,0,6,1,0,1,11,1,11,11,4,-3.8,3,3,0,3,1,4,4,2,2,1,4
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Back 3,Player1,period,5652,3509,730,231,59,524,150,42,7,0,913,169,110,53,3,33,85,36,10,147,761,374,108,34,7,0,3,83,8.8,80,269,410,192,0,9,1557,0,0,0,0,17,5,16,13,152,48,Back 3,6522,499,2132,34,647,26,0,0,2,69,16,2,2,0,6,16,0,16,17,0,17,17,3.7,-4.8,20,17,3,8,0,8,7,2,2,1,10
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player2,period,5615,3416,645,159,3,695,204,10,0,0,719,148,74,49,3,11,46,17,6,0,884,491,194,10,0,0,3,72,7.1,79,251,373,204,0,9,1546,0,0,0,0,8,2,3,2,139,47,Back,0,486,2239,3,533,0,0,0,0,57,13,2,0,0,8,3,0,3,8,0,8,8,3.7,-4.7,7,6,1,4,0,4,10,3,3,0,9
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player3,period,4088,2413,849,62,0,1248,227,1,0,0,559,149,84,50,4,31,66,31,6,0,1447,1021,226,1,0,0,2,72,6.7,73,182,281,157,0,8,1002,0,0,0,0,28,11,3,0,121,39,Back 3,0,788,681,0,882,0,0,0,0,56,19,1,0,0,2,3,0,3,26,2,28,28,3.4,-3.3,9,9,0,11,0,11,22,4,4,0,15
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Outhalf,Player4,period,5011,2727,364,152,37,568,298,103,37,0,607,112,70,40,2,1,32,22,9,118,701,270,195,66,37,0,3,86,7.6,71,168,283,152,0,7,1337,0,0,0,0,1,0,1,1,111,40,Outhalf,5574,212,1930,37,433,0,0,0,0,55,17,8,3,0,4,1,0,1,1,0,1,1,3.2,-4,6,6,0,1,0,1,8,4,4,1,5
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,4088,2413,849,62,0,1248,227,1,0,0,559,149,84,50,4,31,66,31,6,0,1447,1021,226,1,0,0,2,72,6.7,73,182,281,157,0,8,1002,0,0,0,0,28,11,3,0,121,39,Back 3,0,788,681,0,882,0,0,0,0,56,19,1,0,0,2,3,0,3,26,2,28,28,3.4,-3.3,9,9,0,11,0,11,22,4,4,0,15
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,1304,914,76,8,0,34,0,0,0,0,173,34,13,12,2,6,13,2,15,34,71,34,0,0,0,0,3,60,6.3,83,71,109,47,0,11,336,0,0,0,0,5,2,1,0,29,10,Back 3,1449,68,696,0,142,0,0,0,0,18,0,0,0,0,0,1,0,1,5,0,5,5,3.7,-3.5,2,2,0,2,0,2,2,0,0,0,5
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,1204,720,22,0,0,27,0,0,0,0,137,35,15,11,3,2,3,0,14,0,68,27,0,0,0,0,3,58,5.8,76,58,86,55,0,9,315,0,0,0,0,2,0,0,0,33,11,Back,0,22,613,0,85,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,2,2,3.7,-3.5,1,1,0,2,0,2,2,0,0,0,1
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,1172,613,74,16,0,118,62,7,0,0,122,42,13,13,3,0,6,5,7,16,160,56,55,7,0,0,2,72,6.3,74,41,66,35,0,7,245,0,0,0,0,0,0,0,0,42,13,Outhalf,1260,58,462,0,77,0,0,0,0,11,4,1,0,0,0,0,0,0,0,0,0,0,2.6,-1.7,0,0,0,0,0,0,7,4,4,0,5
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,509,200,18,9,0,16,3,0,0,0,92,30,19,10,4,8,6,7,23,28,54,13,3,0,0,0,4,63,6.7,52,26,39,31,0,6,196,0,0,0,0,5,2,3,4,25,8,Back 3,617,9,163,0,19,0,0,0,0,5,1,0,0,0,1,3,0,3,5,0,5,5,3.7,-4.1,3,2,1,2,0,2,2,0,0,0,2
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,399,128,0,0,0,0,0,0,0,0,53,8,6,4,1,0,0,0,0,0,8,0,0,0,0,0,4,47,4.7,41,22,32,28,0,5,162,0,0,0,0,0,0,0,0,7,4,Back,0,0,120,0,8,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,-2.5,0,0,0,0,0,0,0,0,0,0,0
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,409,101,1,0,0,9,0,0,0,0,57,5,8,2,1,0,1,0,68,10,19,9,0,0,0,0,4,59,5.2,42,13,23,21,0,4,157,0,0,0,0,0,0,0,0,5,2,Outhalf,465,1,84,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2.4,-3.2,2,2,0,0,0,0,1,0,0,0,0
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,838,355,55,20,0,43,14,0,0,0,117,17,13,5,3,3,7,4,14,17,70,29,14,0,0,0,3,65,6.9,83,29,44,30,0,8,232,0,0,0,0,2,0,1,2,16,5,Back 3,956,36,245,0,54,0,0,0,0,8,2,0,0,0,0,1,0,1,2,0,2,2,3.2,-4.8,3,2,1,1,0,1,4,1,1,0,6
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,731,299,17,0,0,20,0,0,0,0,88,13,8,6,2,1,4,0,24,0,37,20,0,0,0,0,3,59,5.9,72,28,40,29,0,7,228,0,0,0,0,1,0,0,0,12,6,Back,0,17,242,0,41,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,1,1,2.7,-2.7,0,0,0,0,0,0,2,0,0,0,2
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,707,300,10,0,0,26,5,0,0,0,76,18,11,8,2,0,1,1,10,13,46,22,5,0,0,0,3,61,5.4,70,21,36,23,0,6,216,0,0,0,0,0,0,0,0,18,8,Outhalf,787,10,252,0,38,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2.7,-2.5,0,0,0,0,0,0,3,0,0,0,1
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,314,81,17,6,0,14,2,0,0,0,41,5,5,1,1,1,3,2,19,4,22,12,2,0,0,0,3,61,6.4,35,13,19,20,0,3,108,0,0,0,0,0,0,1,1,5,1,Back 3,353,11,58,0,7,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,2.6,-3.9,2,2,0,0,0,0,2,0,0,0,2
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,422,168,13,0,0,13,0,0,0,0,71,30,12,9,4,3,3,1,16,0,47,13,0,0,0,0,4,57,5.7,47,18,27,22,0,5,156,0,0,0,0,3,1,0,0,27,8,Back,0,13,118,0,37,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,3,3,3.2,-2.9,0,0,0,1,0,1,1,0,0,0,1
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,328,167,26,7,0,40,21,4,0,0,68,25,11,8,3,0,3,3,11,9,68,20,17,4,0,0,4,75,6.6,37,12,21,13,0,4,120,0,0,0,0,0,0,0,0,25,8,Outhalf,385,18,108,0,34,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,2.7,-2.7,0,0,0,0,0,0,5,2,2,0,3
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,1305,998,313,44,0,201,19,0,0,0,230,25,22,8,3,3,25,6,7,16,240,182,19,0,0,0,3,65,6.9,85,65,99,32,0,10,326,0,0,0,0,0,0,3,2,25,8,Back 3,1501,269,400,0,285,0,0,0,0,18,4,0,0,0,3,3,0,3,0,0,0,0,3.3,-4.3,4,3,1,1,0,1,13,1,1,0,20
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,1351,1011,468,111,0,491,153,3,0,0,147,27,12,8,2,0,19,10,3,0,527,338,150,3,0,0,2,70,7,88,58,87,31,0,9,288,0,0,0,0,0,0,0,0,27,8,Back,0,357,358,0,185,0,0,0,0,13,9,1,0,0,2,0,0,0,0,0,0,0,2.9,-2.7,0,0,0,0,0,0,32,10,10,0,31
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,985,524,47,27,7,81,40,25,7,0,117,12,18,6,1,1,5,5,15,36,101,41,15,18,7,0,3,81,7.1,64,33,56,31,0,6,267,0,0,0,0,0,0,0,0,12,6,Outhalf,1106,20,374,7,103,0,0,0,0,13,3,1,1,0,1,0,0,0,0,0,0,0,3.2,-3.1,2,2,0,1,0,1,5,3,3,2,3
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,745,545,147,85,37,126,65,25,2,0,132,31,19,9,8,7,18,7,11,25,170,62,39,23,2,1,3,81,8.5,128,36,55,18,0,15,191,0,0,0,0,5,1,1,0,25,8,Back 3,876,62,314,21,85,16,0,0,1,9,4,1,1,0,1,1,0,1,5,0,5,5,3.6,-3.7,1,1,0,2,0,2,22,11,11,4,25
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,842,630,76,17,0,93,17,0,0,0,126,23,12,7,5,3,10,3,14,0,124,75,17,0,0,1,3,66,6.6,145,38,57,20,0,16,216,0,0,0,0,2,1,1,1,21,6,Back,0,59,444,0,110,0,0,0,0,10,1,0,0,0,2,1,0,1,2,0,2,2,3,-4,4,4,0,1,0,1,16,3,3,0,13
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,731,521,111,66,30,151,96,60,30,0,107,7,4,3,2,0,9,9,9,12,160,55,36,30,30,1,2,86,7.6,126,24,41,13,0,12,175,0,0,0,0,0,0,0,0,7,3,Outhalf,820,46,340,30,70,0,0,0,0,8,4,3,2,0,1,0,0,0,0,0,0,0,2.2,-2.4,0,0,0,0,0,0,26,17,17,10,19
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,638,415,104,59,23,90,47,16,5,0,128,27,19,8,9,7,13,10,13,23,135,43,31,11,5,1,3,83,8.8,123,29,44,15,0,14,168,0,0,0,0,0,0,7,4,27,8,Back 3,770,45,256,13,55,10,0,0,1,9,4,1,1,0,1,7,0,7,0,0,0,0,2.9,-4,5,5,0,0,0,0,17,9,9,3,20
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,667,460,49,31,3,51,34,7,0,0,96,12,9,4,4,1,7,5,16,0,72,17,27,7,0,1,3,72,7.1,129,30,44,19,0,14,182,0,0,0,0,0,0,1,1,12,4,Back,0,18,344,3,67,0,0,0,0,7,3,1,0,0,1,1,0,1,0,0,0,0,2.5,-4.7,2,1,1,0,0,0,10,7,7,1,10
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,678,500,94,36,0,142,74,7,0,0,61,2,5,0,1,0,7,6,9,22,148,68,67,7,0,1,2,74,6.5,131,24,40,15,0,13,157,0,0,0,0,0,0,0,1,2,0,Outhalf,752,59,311,0,95,0,0,0,0,9,3,2,0,0,2,0,0,0,0,0,0,0,2.6,-4,2,2,0,0,0,0,27,14,14,1,18
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Back 3,Player1,period,1924,1005,339,165,51,298,102,25,6,0,331,147,55,42,3,56,52,29,12,53,470,196,77,19,6,0,3,83,8.8,39,115,167,116,0,5,600,0,0,0,0,51,11,5,3,95,31,Back 3,2255,173,530,37,136,13,0,0,2,24,11,2,1,0,7,4,0,5,51,0,51,51,4.1,-5.9,4,2,2,11,2,13,6,2,2,1,7
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player2,period,752,117,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,37,3.7,83,13,19,21,0,4,68,0,0,0,0,0,0,0,0,1,0,Back,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,-0.9,0,0,0,0,0,0,0,0,0,0,0
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player3,period,1785,784,229,71,38,275,127,50,22,3,231,66,24,16,2,24,25,21,8,0,356,148,78,27,19,0,3,94,8.9,36,59,95,81,0,3,498,0,0,0,0,21,4,4,3,46,12,Back 3,0,157,402,30,153,9,0,0,1,18,8,3,3,1,0,3,1,4,18,3,21,21,4.4,-4.3,3,1,2,3,2,5,6,3,3,1,5
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Outhalf,Player4,period,1893,810,286,95,16,364,251,79,16,0,250,104,39,32,2,26,36,30,8,55,477,113,171,63,16,0,3,83,7.3,38,66,113,92,0,4,542,0,0,0,0,26,11,0,0,77,21,Outhalf,2110,191,387,16,136,0,0,0,0,19,14,6,2,0,1,0,0,0,26,0,26,26,3.8,-2.5,0,0,0,9,0,9,7,5,5,2,6
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,1090,588,152,42,0,131,13,0,0,0,127,38,18,16,1,4,12,3,7,25,170,117,13,0,0,0,3,63,6.7,33,71,104,81,0,5,335,0,0,0,0,4,1,0,0,33,15,Back 3,1197,110,341,0,95,0,0,0,0,12,2,0,0,0,2,0,0,0,4,0,4,4,3.2,-2.2,0,0,0,2,0,2,4,0,0,0,5
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,752,117,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,37,3.7,83,13,19,21,0,4,68,0,0,0,0,0,0,0,0,1,0,Back,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,-0.9,0,0,0,0,0,0,0,0,0,0,0
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,1365,651,159,12,0,202,62,0,0,0,161,33,13,9,1,6,13,8,6,0,241,140,62,0,0,0,3,68,6.4,41,45,72,59,0,4,367,0,0,0,0,5,2,1,1,28,7,Back 3,0,146,350,0,142,0,0,0,0,14,5,0,0,0,0,1,0,1,5,0,5,5,3.5,-4,1,0,1,2,0,2,6,2,2,0,5
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,1121,545,127,3,0,176,107,0,0,0,107,25,7,7,1,0,7,6,5,23,200,69,107,0,0,0,3,69,6.1,34,41,69,57,0,3,312,0,0,0,0,0,0,0,0,25,7,Outhalf,1199,124,324,0,93,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,3,-1.6,0,0,0,1,0,1,5,3,3,0,4
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,834,417,187,124,51,167,88,25,6,0,204,109,37,26,8,52,40,27,19,28,300,79,63,19,6,0,3,83,8.8,51,44,64,35,0,6,265,0,0,0,0,47,10,5,3,62,16,Back 3,1058,63,189,37,41,13,0,0,2,12,9,2,1,0,5,4,0,5,47,0,47,47,4.1,-5.9,4,2,2,9,2,11,10,5,5,2,11
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,420,133,70,59,38,73,65,50,22,3,70,33,11,7,3,19,12,14,28,0,116,8,15,27,19,0,3,94,8.9,26,14,23,22,0,2,131,0,0,0,0,15,2,3,2,18,5,Back 3,0,11,52,30,11,9,0,0,1,4,3,3,3,1,0,3,1,3,13,3,15,15,4.4,-4.3,2,1,1,1,2,3,5,4,4,3,4
08/19/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,773,265,159,91,16,188,144,79,16,0,143,79,32,25,5,26,29,27,13,32,277,44,64,63,16,0,3,83,7.3,47,25,44,35,0,4,231,0,0,0,0,26,11,0,0,53,14,Outhalf,910,67,63,16,43,0,0,0,0,9,8,6,2,0,1,0,0,0,26,0,26,26,3.8,-2.5,0,0,0,8,0,8,12,9,9,5,10
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,780,606,1,0,0,0,0,0,0,0,48,4,1,1,0,0,1,0,76,22,4,0,0,0,0,0,2,48,5,107,37,55,17,0,13,137,0,0,0,0,0,0,0,0,4,1,Back 3,827,1,512,0,93,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2.3,-1.7,0,0,0,0,0,0,0,0,0,0,0
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,760,520,0,0,0,0,0,0,0,0,52,5,2,2,1,0,0,0,0,0,5,0,0,0,0,0,2,46,4.6,104,32,47,24,0,11,143,0,0,0,0,0,0,0,0,5,2,Back,0,0,484,0,36,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2.4,-1.4,0,0,0,0,0,0,0,0,0,0,0
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,793,645,0,0,0,0,0,0,0,0,24,2,1,1,0,0,0,0,0,21,2,0,0,0,0,0,2,51,4.5,109,29,47,14,0,12,133,0,0,0,0,0,0,0,0,2,1,Outhalf,827,0,617,0,28,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1.7,-1.3,0,0,0,0,0,0,0,0,0,0,0
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,471,216,59,21,3,45,10,1,0,0,62,11,8,3,3,0,10,2,16,15,62,35,10,1,0,0,2,70,7.4,83,18,27,18,0,8,113,0,0,0,0,0,0,0,0,11,3,Back 3,535,38,120,3,36,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,2.8,-2.8,0,0,0,0,0,0,8,2,2,0,10
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,330,116,25,1,0,28,2,0,0,0,52,5,5,1,1,0,4,2,17,0,35,25,2,0,0,0,3,62,6.1,58,12,19,14,0,5,99,0,0,0,0,0,0,0,1,5,1,Back,0,24,66,0,26,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2.4,-4.2,1,0,1,0,0,0,5,0,0,0,4
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,347,112,3,0,0,23,1,0,0,0,42,5,5,2,1,0,1,1,38,11,31,22,1,0,0,0,3,62,5.4,61,10,17,12,0,5,101,0,0,0,0,0,0,0,0,5,2,Outhalf,385,3,74,0,35,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,3.1,-2.7,0,0,0,1,0,1,4,0,0,0,0
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,474,167,39,17,0,28,5,0,0,0,95,25,11,6,5,2,10,2,26,14,62,23,5,0,0,0,3,65,6.9,64,17,26,21,0,6,150,0,0,0,0,2,1,0,0,23,5,Back 3,555,23,85,0,42,0,0,0,0,8,1,0,0,0,1,0,0,0,2,0,2,2,3.4,-3.2,2,2,0,1,0,1,4,1,1,0,5
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,451,153,34,16,11,35,17,12,0,0,75,17,7,3,3,2,5,2,17,0,60,18,5,12,0,0,3,76,7.6,61,17,27,20,0,6,142,0,0,0,0,1,0,1,0,17,3,Back,0,18,92,11,27,0,0,0,0,7,1,1,0,0,0,1,0,1,1,0,1,1,2.9,-3.3,1,1,0,0,0,0,5,2,2,2,5
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,462,123,23,4,0,37,17,0,0,0,66,12,9,4,2,2,4,5,16,18,55,20,17,0,0,0,3,69,6.1,63,12,21,17,0,4,136,0,0,0,0,0,0,2,2,12,4,Outhalf,525,19,73,0,28,0,0,0,0,7,3,0,0,0,0,2,0,2,0,0,0,0,3.1,-3.8,2,2,0,1,0,1,5,2,2,0,3
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,137,35,0,0,0,0,0,0,0,0,13,2,2,1,1,0,0,0,0,5,3,0,0,0,0,0,3,45,4.8,41,6,8,7,0,4,40,0,0,0,0,0,0,0,0,2,1,Back 3,149,0,29,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8,-2.7,0,0,0,0,0,0,0,0,0,0,0
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,263,100,38,11,0,38,13,0,0,0,64,18,11,5,8,1,6,4,15,0,66,25,13,0,0,0,4,69,6.8,78,11,17,11,0,8,98,0,0,0,0,0,0,1,1,18,5,Back,0,27,40,0,22,0,0,0,0,5,3,0,0,0,2,1,0,1,0,0,0,0,3,-3.8,1,1,0,0,0,0,11,4,4,0,11
08/20/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,161,28,0,0,0,9,0,0,0,0,12,2,2,1,1,0,0,0,0,2,11,9,0,0,0,0,3,56,4.9,48,4,8,8,0,3,51,0,0,0,0,0,0,0,0,2,1,Outhalf,173,0,15,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-2.3,0,0,0,0,0,0,3,0,0,0,0
