Date,Day,Training Day,Days from Game,Week Structure,Turnaround,Training Group,Training Involvement,Opposition,Week Number,Session,Focus,Data Type,Position,Name,Period Name,Total Distance (m),Work Distance (m),+5m/s Distance (m),+6m/s Distance (m),+7m/s Distance (m),Individual High Speed Distance (m),60% Total Distance (m),70% Total Distance (m),80% Total Distance (m),90% Total Distance (Set 2) (m),Accel Decel Distance (m),Accel Distance (m),Accel Decel Efforts,Accel Efforts,Acceleration Metres/Minute,High Accel Distance (m),High Intensity Efforts 1,High Intensity Efforts 2,HSR Density,IMA Total,Individual High Metabolic Distance (m),50% Total Distance (Set 2) (m),60% Total Distance (Set 2) (m),70% Speed Total Distance (Set 2) (m),80% Speed Total Distance (Set 2) (m),Acceleration Density,Acceleration Density Index,Max Vel (% Max),Maximum Velocity (m/s),Meterage Per Minute,Player Load (1D Fwd),Player Load (2D),Player Load (Slow),Player Load Per Metre,Player Load Per Minute,Total Acceleration Load,Total Duration,Average Scrum Count (Session),Average Scrum Duration,Scrum Count,High Accel Total Distance (m),High Accel Total Effort Count,High Deccel  Total Distance (m),High Deccel Total Effort Count,Mod Accel Total Distance (m),Mod Accel Total Effort Count,Position Name,Equivalent Distance (m),High Speed Total Distance (m),Jog Total Distance (m),Abs Sprint Total Distance (m),Stride Total Distance (m),Top Speed 1 Total Distance (m),Top Speed 2 Total Distance (m),Top Speed 2 Total Effort Count,Top Speed 1 Total Effort Count,Stride Total Effort Count,60% Total Effort Count (Set 2),70% Total Effort Count (Set 2),80% Total Effort Count (Set 2),90% Total Effort Count (Set 2),Tackle Count,Deceleration B2 Distance (Gen 2) (m),Deceleration B3 Distance (Gen 2) (m),Deceleration B2-3 Distance (Gen 2) (m),Acceleration B2 Distance (Gen 2) (m),Acceleration B3 Distance (Gen 2) (m),Acceleration B2-3 Distance (Gen 2) (m),Gen 2 Accel Distance (m),Max Acceleration,Max Deceleration,Deceleration B2-3 Total Efforts (Gen 2),Deceleration B2 Efforts (Gen 2),Deceleration B3 Efforts (Gen 2),Acceleration B2 Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Acceleration B2-3 Total Efforts (Gen 2),Individual High Speed/Min,Individual Sprint Metres/Min,60% Mtrs/Min,70% Mtrs/Min,High Speed Mtrs/Min
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,983,443,207,133,87,179,113,77,21,0,147,58,16,14,5,13,26,15,14,18,244,66,36,55,21,0,3,84,8.9,81,45,62,37,0,8,250,0,0,0,0,13,4,0,0,46,10,Back 3,1125,74,173,31,63,56,0,0,3,10,5,3,3,0,0,0,0,0,13,0,13,13,3.8,-2.4,0,0,0,4,0,4,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,1051,437,164,106,61,173,114,68,0,0,148,53,17,15,5,13,22,28,14,0,235,59,45,68,0,0,3,79,7.8,86,67,120,81,0,13,313,0,0,0,0,12,5,0,0,41,10,Back,0,58,198,61,76,0,0,0,0,11,7,3,0,0,17,0,0,0,11,1,12,12,3.8,-2.6,0,0,0,5,0,5,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,998,442,200,109,25,227,146,51,2,0,120,34,12,11,3,6,20,12,11,0,263,81,95,50,2,0,2,80,7.5,82,52,71,40,0,8,217,0,0,0,0,6,3,0,0,28,8,Back 3,0,90,173,25,68,0,0,0,0,10,7,2,0,0,0,0,0,0,6,0,6,6,3.6,-2.5,0,0,0,2,0,2,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,628,173,53,13,0,65,35,6,0,0,56,21,5,5,2,2,7,15,10,21,86,29,29,6,0,0,3,73,6.6,51,46,86,91,0,10,217,0,0,0,0,2,1,0,0,19,4,Outhalf,695,40,96,0,24,0,0,0,0,4,4,1,0,0,17,0,0,0,2,0,2,2,3.3,-1.7,0,0,0,1,0,1,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,378,253,214,196,173,208,187,163,94,0,99,55,12,8,21,28,22,16,22,4,279,21,24,69,94,0,2,87,9.2,113,16,23,6,0,13,75,0,0,0,0,26,4,1,0,28,4,Back 3,483,18,25,35,14,121,18,2,4,4,4,4,4,0,0,1,0,1,22,5,26,26,4.4,-3.4,1,1,0,0,4,4,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,415,262,201,175,149,208,182,156,67,0,72,39,13,13,14,11,15,17,11,0,254,25,26,89,67,0,2,89,8.8,124,28,49,17,0,19,86,0,0,0,0,11,3,0,0,29,10,Back,0,27,42,95,19,54,0,0,3,3,3,3,4,0,4,0,0,0,10,1,11,11,4.2,-2,0,0,0,2,1,3,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,380,266,214,188,150,221,200,168,117,0,71,40,8,8,12,22,18,16,16,0,261,21,32,51,117,0,2,89,8.4,113,20,27,6,0,12,68,0,0,0,0,22,4,0,0,19,4,Back 3,0,25,30,110,22,40,0,0,2,4,4,4,4,0,0,0,0,0,20,2,22,22,4,-1.6,0,0,0,4,0,4,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,644,448,120,73,36,113,57,24,5,0,103,6,7,3,3,0,12,6,11,13,130,56,33,19,5,0,2,82,8.7,125,30,42,14,0,13,152,0,0,0,0,0,0,0,0,6,3,Back 3,730,48,252,22,76,14,0,0,1,7,3,2,1,0,0,0,0,0,0,0,0,0,2.3,-3.3,1,1,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,827,605,132,55,32,139,59,33,12,0,171,36,20,13,10,8,18,25,10,0,189,80,26,21,12,1,3,86,8.5,161,66,112,31,0,29,229,0,0,0,0,7,2,1,2,29,11,Back,0,78,373,24,100,8,0,0,1,13,5,2,1,0,24,1,0,1,7,0,7,7,4,-3.8,3,3,0,2,0,2,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,833,689,88,22,4,134,35,8,0,0,122,22,16,9,6,3,13,7,14,0,163,99,27,8,0,1,3,77,7.2,162,44,65,14,0,19,214,0,0,0,0,2,1,1,2,21,8,Back 3,0,66,429,4,173,0,0,0,0,12,3,1,0,0,4,1,1,1,2,0,2,2,3.5,-5.3,2,1,1,2,0,2,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,567,273,16,0,0,41,9,0,0,0,68,8,6,3,2,0,2,3,13,26,51,32,9,0,0,0,3,66,5.8,110,35,55,34,0,17,147,0,0,0,0,0,0,0,0,8,3,Outhalf,656,16,198,0,59,0,0,0,0,7,1,0,0,0,4,0,0,0,0,0,0,0,2.7,-2.8,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,162,101,0,0,0,0,0,0,0,0,69,28,15,13,13,0,0,0,0,6,29,0,0,0,0,1,6,37,3.9,75,10,14,8,0,10,101,0,0,0,0,0,0,0,0,28,13,Back 3,210,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,-2.4,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,174,97,0,0,0,0,0,0,0,0,76,33,21,14,17,6,3,3,0,0,37,0,0,0,0,1,6,43,4.2,80,14,26,13,0,16,111,0,0,0,0,6,3,0,0,27,11,Back,0,0,93,0,4,0,0,0,0,1,0,0,0,0,12,0,0,0,6,0,6,6,3.2,-2.7,0,0,0,1,0,1,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,119,75,0,0,0,0,0,0,0,0,51,23,10,9,11,2,1,1,0,0,24,0,0,0,0,1,7,42,3.9,55,7,10,5,0,7,77,0,0,0,0,2,1,0,0,21,8,Back 3,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2.7,-2.4,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,183,105,0,0,0,1,0,0,0,0,69,32,16,15,16,3,1,2,0,2,35,1,0,0,0,1,5,51,4.5,85,12,20,10,0,15,89,0,0,0,0,3,1,0,0,30,14,Outhalf,245,0,98,0,7,0,0,0,0,4,0,0,0,0,2,0,0,0,3,0,3,3,2.9,-3.6,1,1,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,132,86,0,0,0,0,0,0,0,0,58,31,13,13,15,1,0,0,0,3,31,0,0,0,0,1,6,35,3.7,64,8,12,7,0,9,84,0,0,0,0,1,0,0,0,31,13,Back 3,173,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2.4,-1.8,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,161,94,0,0,0,0,0,0,0,0,68,34,17,12,19,6,1,1,0,0,39,0,0,0,0,1,6,45,4.5,78,12,23,11,0,15,103,0,0,0,0,6,1,0,0,28,11,Back,0,0,87,0,6,0,0,0,0,4,0,0,0,0,12,0,0,0,6,0,6,6,3.4,-2.8,0,0,0,2,0,2,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,107,68,0,0,0,0,0,0,0,0,52,22,13,9,11,1,0,0,0,0,23,0,0,0,0,1,7,41,3.9,51,6,9,5,0,7,76,0,0,0,0,1,0,0,0,21,9,Back 3,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2.4,-2.5,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,148,89,0,0,0,0,0,0,0,0,63,25,12,10,13,0,0,0,0,10,27,0,0,0,0,1,6,50,4.4,71,10,18,10,0,14,88,0,0,0,0,0,0,0,0,25,10,Outhalf,204,0,83,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2.6,-2.4,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,676,505,163,75,38,140,51,24,0,0,129,24,12,7,6,3,13,5,8,21,172,89,27,24,0,1,3,80,8.5,136,32,45,14,0,15,178,0,0,0,0,3,0,0,0,21,7,Back 3,783,89,267,20,75,18,0,0,1,9,3,1,0,0,3,0,0,0,3,0,3,3,3.4,-3.1,2,2,0,1,0,1,,,,,
